Group Name
India - Global AI Hackathon (MIT Sloan)
Mexico 🇲🇽 - Global AI Hackathon (MIT Sloan)
VC-Track Aug/Sep/Oct '25
Australia - MIT AI Hackathon
Jury Admin
Hong Kong - Global AI Hackathon (MIT Sloan)
KIIT - Global AI Hackathon (MIT Sloan)
Costa Rica - Global AI Hackathon 🇨🇷
ECC-Morocco Global AI Hackathon
LGO - Sloanies x MIT AI Hackathon
DACH Ambassadors
Global MIT AI Community – 🇫🇷&🇲🇦
Ambassadors - Global MIT AI Community
Morocco - MIT AI
DACH x Global AI Community
Volunteering Team 🙌🏻
France AI x MIT
Global AI Hackathon 2nd Edition
GlobalAIHackathon x University – Germany Site
Get involved - MIT CNC - 5th Global AI Hackathon - Hack-Nation
Ask us - MIT AI Hackathon (hybrid)
Q&A MIT AI Hackathon
MIT AI Hacks
LGO AI Hackathon Core Team Boston
Hackathon Infrastructure
Podcast Hack-Nation Global AI Hackathon
